曜日区分,時間,分,系統,行先,乗り場
平日,6,22,川57,末吉橋矢向循環→矢向西町,59
平日,6,50,川57,末吉橋矢向循環→矢向西町,59
平日,7,8,川57,末吉橋矢向循環→矢向西町,59
平日,7,26,川57,末吉橋矢向循環→矢向西町,59
平日,7,42,川57,末吉橋矢向循環→矢向西町,59
平日,7,56,川57,末吉橋矢向循環→矢向西町,59
平日,8,10,川57,末吉橋矢向循環→矢向西町,59
平日,8,24,川57,末吉橋矢向循環→矢向西町,59
平日,8,45,川57,末吉橋矢向循環→矢向西町,59
平日,9,15,川57,末吉橋矢向循環→矢向西町,59
平日,9,45,川57,末吉橋矢向循環→矢向西町,59
平日,10,15,川57,末吉橋矢向循環→矢向西町,59
平日,10,45,川57,末吉橋矢向循環→矢向西町,59
平日,11,15,川57,末吉橋矢向循環→矢向西町,59
平日,11,45,川57,末吉橋矢向循環→矢向西町,59
平日,12,15,川57,末吉橋矢向循環→矢向西町,59
平日,12,45,川57,末吉橋矢向循環→矢向西町,59
平日,13,15,川57,末吉橋矢向循環→矢向西町,59
平日,13,45,川57,末吉橋矢向循環→矢向西町,59
平日,14,15,川57,末吉橋矢向循環→矢向西町,59
平日,14,45,川57,末吉橋矢向循環→矢向西町,59
平日,15,10,川57,末吉橋矢向循環→矢向西町,59
平日,15,35,川57,末吉橋矢向循環→矢向西町,59
平日,15,55,川57,末吉橋矢向循環→矢向西町,59
平日,16,15,川57,末吉橋矢向循環→矢向西町,59
平日,16,35,川57,末吉橋矢向循環→矢向西町,59
平日,16,55,川57,末吉橋矢向循環→矢向西町,59
平日,17,15,川57,末吉橋矢向循環→矢向西町,59
平日,17,35,川57,末吉橋矢向循環→矢向西町,59
平日,17,55,川57,末吉橋矢向循環→矢向西町,59
平日,18,15,川57,末吉橋矢向循環→矢向西町,59
平日,18,35,川57,末吉橋矢向循環→矢向西町,59
平日,18,55,川57,末吉橋矢向循環→矢向西町,59
平日,19,20,川57,末吉橋矢向循環→矢向西町,59
平日,19,45,川57,末吉橋矢向循環→矢向西町,59
平日,20,15,川57,末吉橋矢向循環→矢向西町,59
平日,20,45,川57,末吉橋矢向循環→矢向西町,59
平日,21,15,川57,末吉橋矢向循環→矢向西町,59
平日,21,55,川57,末吉橋矢向循環→矢向西町,59
平日,22,35,川57,末吉橋矢向循環→矢向西町,59
土曜,6,22,川57,末吉橋矢向循環→矢向西町,59
土曜,6,48,川57,末吉橋矢向循環→矢向西町,59
土曜,7,15,川57,末吉橋矢向循環→矢向西町,59
土曜,7,45,川57,末吉橋矢向循環→矢向西町,59
土曜,8,15,川57,末吉橋矢向循環→矢向西町,59
土曜,8,45,川57,末吉橋矢向循環→矢向西町,59
土曜,9,15,川57,末吉橋矢向循環→矢向西町,59
土曜,9,45,川57,末吉橋矢向循環→矢向西町,59
土曜,10,15,川57,末吉橋矢向循環→矢向西町,59
土曜,10,45,川57,末吉橋矢向循環→矢向西町,59
土曜,11,15,川57,末吉橋矢向循環→矢向西町,59
土曜,11,45,川57,末吉橋矢向循環→矢向西町,59
土曜,12,15,川57,末吉橋矢向循環→矢向西町,59
土曜,12,45,川57,末吉橋矢向循環→矢向西町,59
土曜,13,15,川57,末吉橋矢向循環→矢向西町,59
土曜,13,45,川57,末吉橋矢向循環→矢向西町,59
土曜,14,15,川57,末吉橋矢向循環→矢向西町,59
土曜,14,45,川57,末吉橋矢向循環→矢向西町,59
土曜,15,15,川57,末吉橋矢向循環→矢向西町,59
土曜,15,45,川57,末吉橋矢向循環→矢向西町,59
土曜,16,15,川57,末吉橋矢向循環→矢向西町,59
土曜,16,45,川57,末吉橋矢向循環→矢向西町,59
土曜,17,15,川57,末吉橋矢向循環→矢向西町,59
土曜,17,45,川57,末吉橋矢向循環→矢向西町,59
土曜,18,15,川57,末吉橋矢向循環→矢向西町,59
土曜,18,45,川57,末吉橋矢向循環→矢向西町,59
土曜,19,15,川57,末吉橋矢向循環→矢向西町,59
土曜,19,45,川57,末吉橋矢向循環→矢向西町,59
土曜,20,15,川57,末吉橋矢向循環→矢向西町,59
土曜,20,45,川57,末吉橋矢向循環→矢向西町,59
土曜,21,15,川57,末吉橋矢向循環→矢向西町,59
土曜,21,55,川57,末吉橋矢向循環→矢向西町,59
土曜,22,35,川57,末吉橋矢向循環→矢向西町,59
休日,6,22,川57,末吉橋矢向循環→矢向西町,59
休日,6,48,川57,末吉橋矢向循環→矢向西町,59
休日,7,15,川57,末吉橋矢向循環→矢向西町,59
休日,7,45,川57,末吉橋矢向循環→矢向西町,59
休日,8,15,川57,末吉橋矢向循環→矢向西町,59
休日,8,45,川57,末吉橋矢向循環→矢向西町,59
休日,9,15,川57,末吉橋矢向循環→矢向西町,59
休日,9,45,川57,末吉橋矢向循環→矢向西町,59
休日,10,15,川57,末吉橋矢向循環→矢向西町,59
休日,10,45,川57,末吉橋矢向循環→矢向西町,59
休日,11,15,川57,末吉橋矢向循環→矢向西町,59
休日,11,45,川57,末吉橋矢向循環→矢向西町,59
休日,12,15,川57,末吉橋矢向循環→矢向西町,59
休日,12,45,川57,末吉橋矢向循環→矢向西町,59
休日,13,15,川57,末吉橋矢向循環→矢向西町,59
休日,13,45,川57,末吉橋矢向循環→矢向西町,59
休日,14,15,川57,末吉橋矢向循環→矢向西町,59
休日,14,45,川57,末吉橋矢向循環→矢向西町,59
休日,15,15,川57,末吉橋矢向循環→矢向西町,59
休日,15,45,川57,末吉橋矢向循環→矢向西町,59
休日,16,15,川57,末吉橋矢向循環→矢向西町,59
休日,16,45,川57,末吉橋矢向循環→矢向西町,59
休日,17,15,川57,末吉橋矢向循環→矢向西町,59
休日,17,45,川57,末吉橋矢向循環→矢向西町,59
休日,18,15,川57,末吉橋矢向循環→矢向西町,59
休日,18,45,川57,末吉橋矢向循環→矢向西町,59
休日,19,15,川57,末吉橋矢向循環→矢向西町,59
休日,19,45,川57,末吉橋矢向循環→矢向西町,59
休日,20,15,川57,末吉橋矢向循環→矢向西町,59
休日,20,45,川57,末吉橋矢向循環→矢向西町,59
休日,21,15,川57,末吉橋矢向循環→矢向西町,59
休日,21,55,川57,末吉橋矢向循環→矢向西町,59
休日,22,35,川57,末吉橋矢向循環→矢向西町,59
