曜日区分,時間,分,系統,行先,乗り場
平日,6,5,川55,小杉駅行→新鶴見小学校南,58
平日,6,23,川55,小杉駅行→新鶴見小学校南,58
平日,6,33,川55,小杉駅行→新鶴見小学校南,58
平日,6,43,川55,小杉駅行→新鶴見小学校南,58
平日,6,52,川55,小杉駅行→新鶴見小学校南,58
平日,6,59,川55,小杉駅行→新鶴見小学校南,58
平日,7,6,川55,小杉駅行→新鶴見小学校南,58
平日,7,13,川55,小杉駅行→新鶴見小学校南,58
平日,7,20,川55,小杉駅行→新鶴見小学校南,58
平日,7,27,川55,小杉駅行→新鶴見小学校南,58
平日,7,34,川55,小杉駅行→新鶴見小学校南,58
平日,7,41,川55,小杉駅行→新鶴見小学校南,58
平日,7,48,川55,小杉駅行→新鶴見小学校南,58
平日,7,55,川55,小杉駅行→新鶴見小学校南,58
平日,8,2,川55,小杉駅行→新鶴見小学校南,58
平日,8,12,川55,小杉駅行→新鶴見小学校南,58
平日,8,22,川55,小杉駅行→新鶴見小学校南,58
平日,8,32,川55,小杉駅行→新鶴見小学校南,58
平日,8,42,川55,小杉駅行→新鶴見小学校南,58
平日,8,54,川55,小杉駅行→新鶴見小学校南,58
平日,9,6,川55,小杉駅行→新鶴見小学校南,58
平日,9,18,川55,小杉駅行→新鶴見小学校南,58
平日,9,30,川55,小杉駅行→新鶴見小学校南,58
平日,9,42,川55,小杉駅行→新鶴見小学校南,58
平日,9,54,川55,小杉駅行→新鶴見小学校南,58
平日,10,6,川55,小杉駅行→新鶴見小学校南,58
平日,10,18,川55,小杉駅行→新鶴見小学校南,58
平日,10,30,川55,小杉駅行→新鶴見小学校南,58
平日,10,42,川55,小杉駅行→新鶴見小学校南,58
平日,10,54,川55,小杉駅行→新鶴見小学校南,58
平日,11,6,川55,小杉駅行→新鶴見小学校南,58
平日,11,18,川55,小杉駅行→新鶴見小学校南,58
平日,11,30,川55,小杉駅行→新鶴見小学校南,58
平日,11,42,川55,小杉駅行→新鶴見小学校南,58
平日,11,54,川55,小杉駅行→新鶴見小学校南,58
平日,12,6,川55,小杉駅行→新鶴見小学校南,58
平日,12,18,川55,小杉駅行→新鶴見小学校南,58
平日,12,30,川55,小杉駅行→新鶴見小学校南,58
平日,12,42,川55,小杉駅行→新鶴見小学校南,58
平日,12,54,川55,小杉駅行→新鶴見小学校南,58
平日,13,6,川55,小杉駅行→新鶴見小学校南,58
平日,13,18,川55,小杉駅行→新鶴見小学校南,58
平日,13,30,川55,小杉駅行→新鶴見小学校南,58
平日,13,42,川55,小杉駅行→新鶴見小学校南,58
平日,13,54,川55,小杉駅行→新鶴見小学校南,58
平日,14,6,川55,小杉駅行→新鶴見小学校南,58
平日,14,18,川55,小杉駅行→新鶴見小学校南,58
平日,14,30,川55,小杉駅行→新鶴見小学校南,58
平日,14,42,川55,小杉駅行→新鶴見小学校南,58
平日,14,54,川55,小杉駅行→新鶴見小学校南,58
平日,15,3,川55,小杉駅行→新鶴見小学校南,58
平日,15,15,川55,小杉駅行→新鶴見小学校南,58
平日,15,27,川55,小杉駅行→新鶴見小学校南,58
平日,15,39,川55,小杉駅行→新鶴見小学校南,58
平日,15,51,川55,小杉駅行→新鶴見小学校南,58
平日,16,3,川55,小杉駅行→新鶴見小学校南,58
平日,16,15,川55,小杉駅行→新鶴見小学校南,58
平日,16,25,川55,小杉駅行→新鶴見小学校南,58
平日,16,35,川55,小杉駅行→新鶴見小学校南,58
平日,16,45,川55,小杉駅行→新鶴見小学校南,58
平日,16,55,川55,小杉駅行→新鶴見小学校南,58
平日,17,4,川55,小杉駅行→新鶴見小学校南,58
平日,17,12,川55,小杉駅行→新鶴見小学校南,58
平日,17,20,川55,小杉駅行→新鶴見小学校南,58
平日,17,28,川55,小杉駅行→新鶴見小学校南,58
平日,17,36,川55,小杉駅行→新鶴見小学校南,58
平日,17,44,川55,小杉駅行→新鶴見小学校南,58
平日,17,52,川55,小杉駅行→新鶴見小学校南,58
平日,18,0,川55,小杉駅行→新鶴見小学校南,58
平日,18,8,川55,谷戸行(川54)→新鶴見小学校南,58
平日,18,16,川55,小杉駅行→新鶴見小学校南,58
平日,18,24,川55,小杉駅行→新鶴見小学校南,58
平日,18,32,川55,小杉駅行→新鶴見小学校南,58
平日,18,40,川55,小杉駅行→新鶴見小学校南,58
平日,18,48,川55,小杉駅行→新鶴見小学校南,58
平日,18,56,川55,小杉駅行→新鶴見小学校南,58
平日,19,4,川55,小杉駅行→新鶴見小学校南,58
平日,19,12,川55,小杉駅行→新鶴見小学校南,58
平日,19,20,川55,小杉駅行→新鶴見小学校南,58
平日,19,30,川55,小杉駅行→新鶴見小学校南,58
平日,19,40,川55,小杉駅行→新鶴見小学校南,58
平日,19,50,川55,小杉駅行→新鶴見小学校南,58
平日,20,0,川55,小杉駅行→新鶴見小学校南,58
平日,20,12,川55,小杉駅行→新鶴見小学校南,58
平日,20,24,川55,元住吉行(川54)→新鶴見小学校南,58
平日,20,36,川55,小杉駅行→新鶴見小学校南,58
平日,20,48,川55,小杉駅行→新鶴見小学校南,58
平日,21,0,川55,小杉駅行→新鶴見小学校南,58
平日,21,15,川55,小杉駅行→新鶴見小学校南,58
平日,21,30,川55,元住吉行(川54)→新鶴見小学校南,58
平日,21,45,川55,小杉駅行→新鶴見小学校南,58
平日,22,2,川55,谷戸行(川54)→新鶴見小学校南,58
平日,22,20,川55,谷戸行(川54)→新鶴見小学校南,58
平日,22,40,川55,小杉駅行→新鶴見小学校南,58
平日,23,0,川55,谷戸行(川54)→新鶴見小学校南,58
土曜,6,5,川55,小杉駅行→新鶴見小学校南,58
土曜,6,23,川55,小杉駅行→新鶴見小学校南,58
土曜,6,41,川55,小杉駅行→新鶴見小学校南,58
土曜,7,8,川55,小杉駅行→新鶴見小学校南,58
土曜,7,24,川55,小杉駅行→新鶴見小学校南,58
土曜,7,40,川55,小杉駅行→新鶴見小学校南,58
土曜,7,56,川55,小杉駅行→新鶴見小学校南,58
土曜,8,12,川55,小杉駅行→新鶴見小学校南,58
土曜,8,28,川55,小杉駅行→新鶴見小学校南,58
土曜,8,44,川55,小杉駅行→新鶴見小学校南,58
土曜,9,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,9,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,9,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,9,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,9,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,10,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,10,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,10,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,10,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,10,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,11,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,11,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,11,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,11,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,11,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,12,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,12,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,12,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,12,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,12,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,13,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,13,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,13,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,13,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,13,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,14,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,14,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,14,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,14,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,14,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,15,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,15,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,15,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,15,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,15,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,16,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,16,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,16,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,16,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,16,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,17,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,17,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,17,24,川55,小杉駅東口行→新鶴見小学校南,58
土曜,17,36,川55,小杉駅東口行→新鶴見小学校南,58
土曜,17,48,川55,小杉駅東口行→新鶴見小学校南,58
土曜,18,0,川55,小杉駅東口行→新鶴見小学校南,58
土曜,18,12,川55,小杉駅東口行→新鶴見小学校南,58
土曜,18,24,川55,小杉駅行→新鶴見小学校南,58
